                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.109,                 37.517,                 4.6952,                  2e-05,                0.09091,                  1e-05,                      0,                   2.87,                 25.425,                   4.16,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.0436,                 17.031,                 4.5897,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8661,                 5.5806,                 4.1453,               0.073871,              0.0028713,              0.0028713
                      2,                  2.968,                  6.484,                 4.1837,                  2e-05,                0.09091,                  1e-05,                      0,                  2.831,                 5.4681,                 4.0792,               0.060313,              0.0043129,              0.0043129
                      3,                 2.9994,                 6.0657,                 4.2219,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8074,                 5.5374,                 4.0326,               0.046725,              0.0057248,              0.0057248
                      4,                 3.0476,                 5.7332,                 4.2344,                  2e-05,                0.09091,                  1e-05,                      0,                 2.7664,                  5.501,                 3.9815,               0.033107,               0.007107,               0.007107
                      5,                 2.9666,                 6.6854,                 3.9115,                0.00184,                0.36364,                0.00131,                0.00058,                 2.8737,                    inf,                 16.837,               0.019459,              0.0084594,              0.0084594
                      6,                  3.104,                 5.1319,                  3.778,                0.00024,                0.27273,                0.00013,                  6e-05,                 2.7014,                    inf,                 81.807,               0.009406,               0.009406,               0.009406
                      7,                 2.8625,                 4.1373,                 3.5898,                  5e-05,                0.09091,                  2e-05,                  1e-05,                 2.5183,                    inf,                 59.866,               0.009406,               0.009406,               0.009406
                      8,                 2.8688,                 4.2183,                 3.6372,                0.00035,                0.72727,                0.00046,                0.00017,                 2.4302,                    inf,                 32.477,               0.009307,               0.009307,               0.009307
                      9,                 3.0756,                 3.8373,                 3.7267,                0.00133,                0.54545,                0.00238,                0.00071,                 2.4682,                    inf,                 36.993,               0.009208,               0.009208,               0.009208
                     10,                   3.09,                 4.1524,                 3.5692,                0.10482,                0.09091,                0.01665,                0.00736,                 2.6765,                 10.741,                 6.7089,               0.009109,               0.009109,               0.009109
                     11,                 3.0198,                 3.6402,                 3.5561,                  0.125,                0.18182,                0.03236,                0.01508,                 2.9956,                 255.39,                 4.2229,                0.00901,                0.00901,                0.00901
                     12,                 2.8818,                 3.7301,                  3.408,                0.01237,                0.63636,                 0.0124,                0.00516,                 2.8184,                 483.13,                 3.8348,               0.008911,               0.008911,               0.008911
                     13,                 2.8754,                 3.9286,                 3.4261,                0.00518,                0.18182,                 0.0028,                0.00095,                 3.9543,                 124.23,                 7.1333,               0.008812,               0.008812,               0.008812
                     14,                 2.8628,                  3.395,                 3.3974,                0.00628,                0.27273,                0.01127,                0.00157,                 2.9932,                    inf,                 5.1361,               0.008713,               0.008713,               0.008713
                     15,                 2.8967,                 3.8457,                 3.5597,                0.33333,                0.45455,                0.26067,                0.13353,                 2.5445,                 82.004,                 3.6398,               0.008614,               0.008614,               0.008614
                     16,                 2.7434,                 3.5136,                 3.4246,                0.35049,                0.45455,                 0.2354,                0.10249,                 2.8884,                 4.9554,                 3.5709,               0.008515,               0.008515,               0.008515
