                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1529,                 59.115,                 4.6478,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8705,                 26.542,                 4.1619,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.0266,                 23.346,                   4.48,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8635,                 5.5528,                 4.1511,               0.073871,              0.0028713,              0.0028713
                      2,                   2.99,                 6.4501,                 4.1412,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8248,                 5.5358,                 4.0618,               0.060313,              0.0043129,              0.0043129
                      3,                 3.0711,                 5.6397,                   4.12,                  2e-05,                0.09091,                  1e-05,                      0,                 2.8046,                 5.6117,                  4.014,               0.046725,              0.0057248,              0.0057248
                      4,                 3.0114,                 5.9801,                 4.0078,                  2e-05,                0.09091,                  1e-05,                      0,                 2.7844,                 5.6592,                 3.9773,               0.033107,               0.007107,               0.007107
                      5,                 2.9309,                 5.2213,                 3.7627,                0.00131,                0.81818,                0.43505,                0.17398,                 2.7924,                 6.0723,                 3.5484,               0.019459,              0.0084594,              0.0084594
                      6,                  3.029,                 4.8425,                 3.7292,                    0.5,                0.09091,                0.16052,                0.06289,                 3.0518,                 36.844,                 6.6828,               0.009406,               0.009406,               0.009406
                      7,                 2.8573,                 6.7908,                  3.553,                0.00016,                0.18182,                  6e-05,                  5e-05,                 2.7099,                    inf,                 26.516,               0.009406,               0.009406,               0.009406
                      8,                 2.8443,                  4.486,                 3.5194,                0.02564,                0.09091,                0.01128,                0.00335,                 3.3614,                 80.474,                 12.418,               0.009307,               0.009307,               0.009307
                      9,                 2.9756,                 4.0033,                 3.5468,                0.00065,                0.72727,                0.00063,                0.00025,                 2.9204,                    inf,                 15.565,               0.009208,               0.009208,               0.009208
                     10,                 2.9778,                 4.1982,                 3.5359,                0.00196,                0.54545,                0.00163,                0.00062,                 3.0778,                    inf,                 8.1165,               0.009109,               0.009109,               0.009109
                     11,                 2.9435,                 4.1053,                 3.6335,                    0.2,                0.45455,                0.09227,                0.05328,                 2.5839,                    inf,                 4.2357,                0.00901,                0.00901,                0.00901
                     12,                 2.8556,                   3.86,                 3.4827,                 0.2572,                0.36364,                0.25227,                0.11437,                 2.8246,                 27.435,                 3.6094,               0.008911,               0.008911,               0.008911
                     13,                  2.778,                 3.5409,                 3.4426,                0.00247,                0.36364,                0.00237,                0.00061,                 2.7458,                 8.3924,                 4.1983,               0.008812,               0.008812,               0.008812
                     14,                 2.8144,                 3.7125,                 3.4405,                      1,                0.09091,                0.40252,                0.18287,                 2.5071,                 53.533,                 3.3344,               0.008713,               0.008713,               0.008713
                     15,                 2.9041,                 3.7581,                 3.5388,                    0.5,                0.18182,                0.34026,                0.11872,                 2.8108,                 24.581,                 3.7982,               0.008614,               0.008614,               0.008614
                     16,                 2.7793,                 3.6212,                 3.5223,                0.45455,                0.45455,                0.35852,                0.14878,                 2.5709,                 75.122,                 3.3074,               0.008515,               0.008515,               0.008515
                     17,                 2.7612,                 3.5418,                 3.4876,                0.45471,                0.45455,                0.29918,                0.10076,                 2.8293,                 3.7567,                 3.6036,               0.008416,               0.008416,               0.008416
                     18,                 2.8544,                 3.5922,                 3.4497,                0.24472,                0.18182,                0.13341,                0.08189,                 2.4699,                 385.05,                 3.4164,               0.008317,               0.008317,               0.008317
                     19,                 2.7861,                 4.0708,                 3.5051,                0.28394,                0.18182,                 0.2547,                 0.1187,                 2.9189,                 3.3156,                 3.4931,               0.008218,               0.008218,               0.008218
                     20,                 2.8019,                 3.3931,                 3.4637,                0.71268,                0.36364,                0.44516,                0.19281,                 2.6599,                   2.76,                 3.3734,               0.008119,               0.008119,               0.008119
                     21,                 2.6775,                 3.2711,                 3.4276,                0.87721,                0.27273,                0.31493,                 0.1736,                 2.5932,                 4.2894,                 3.3882,                0.00802,                0.00802,                0.00802
                     22,                 2.8073,                 3.5438,                 3.4522,                 0.3986,                0.27273,                0.27052,                 0.1061,                 2.6174,                 5.8469,                 3.3542,               0.007921,               0.007921,               0.007921
                     23,                 2.7727,                 3.3041,                 3.4391,                0.26618,                0.27273,                0.25978,                0.11606,                 2.4218,                 6.7126,                 3.2415,               0.007822,               0.007822,               0.007822
                     24,                  2.672,                 3.0337,                 3.3769,                0.77685,                0.63334,                 0.5619,                0.25709,                 2.5474,                  3.184,                 3.2924,               0.007723,               0.007723,               0.007723
                     25,                 2.7195,                 2.8819,                 3.3075,                0.47722,                0.58252,                0.50544,                0.22691,                 2.5704,                 4.1129,                 3.2698,               0.007624,               0.007624,               0.007624
                     26,                  2.612,                  3.207,                 3.2614,                0.66065,                0.54545,                0.59497,                0.27065,                 2.6252,                 3.4185,                 3.2718,               0.007525,               0.007525,               0.007525
                     27,                 2.6399,                 2.9703,                 3.2887,                0.38905,                0.36364,                  0.247,                0.10335,                 2.7513,                 6.7929,                 3.3572,               0.007426,               0.007426,               0.007426
                     28,                 2.6781,                 3.1503,                 3.3323,                 0.8983,                0.27273,                0.40311,                 0.1776,                 2.8298,                 2.5475,                 3.3485,               0.007327,               0.007327,               0.007327
                     29,                 2.5168,                 3.0455,                 3.2531,                0.43055,                0.36364,                0.25967,                0.11031,                 2.6558,                  2.963,                 3.2582,               0.007228,               0.007228,               0.007228
                     30,                 2.5943,                 3.2123,                 3.2313,                0.47825,                0.08695,                0.08346,                0.03633,                 2.6321,                 4.9279,                 3.3431,               0.007129,               0.007129,               0.007129
                     31,                 2.5649,                 2.8122,                 3.1889,                0.15658,                0.18182,                 0.1019,                0.02983,                 2.9578,                 3.8676,                  3.463,                0.00703,                0.00703,                0.00703
                     32,                 2.6064,                 3.1753,                 3.2496,                0.20221,                0.27273,                0.27821,                0.10422,                 2.3363,                 18.197,                  3.116,               0.006931,               0.006931,               0.006931
                     33,                 2.5685,                 3.0285,                  3.253,                0.64871,                0.50628,                 0.5725,                0.18675,                 2.7606,                 2.6681,                 3.3218,               0.006832,               0.006832,               0.006832
                     34,                  2.508,                 2.9108,                 3.2471,                0.79142,                0.09091,                0.13619,                0.07641,                 2.5384,                 5.5247,                 3.2214,               0.006733,               0.006733,               0.006733
                     35,                 2.6259,                 3.1826,                 3.2345,                0.30627,                0.09091,                0.06389,                0.01889,                 2.8018,                 3.8071,                 3.3085,               0.006634,               0.006634,               0.006634
                     36,                 2.5404,                 3.3647,                 3.2106,                0.34999,                0.45455,                0.27359,                0.11751,                 2.7055,                 2.6772,                  3.266,               0.006535,               0.006535,               0.006535
                     37,                 2.4603,                 2.8285,                 3.1528,                0.77448,                0.18182,                0.43186,                0.22377,                 2.6243,                 3.2144,                 3.4275,               0.006436,               0.006436,               0.006436
                     38,                  2.543,                 3.1843,                 3.1976,                0.11375,                0.36364,                0.17042,                0.07074,                 2.5281,                  5.154,                 3.2513,               0.006337,               0.006337,               0.006337
                     39,                 2.3746,                 2.7471,                  3.049,                0.80409,                0.45455,                0.58442,                0.21875,                 2.5233,                 2.6703,                 3.2837,               0.006238,               0.006238,               0.006238
