                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5889,                 39.131,                 4.4788,                      0,                      0,                      0,                      0,                 2.9888,                 13.158,                 4.1586,                 0.0874,                 0.0014,                 0.0014
                      1,                   3.57,                 10.798,                 4.5056,                      0,                      0,                      0,                      0,                 2.9771,                 5.1094,                 4.1323,               0.073871,              0.0028713,              0.0028713
                      2,                 3.5311,                 6.7593,                 4.3565,                      0,                      0,                      0,                      0,                  2.968,                  5.311,                 4.1101,               0.060313,              0.0043129,              0.0043129
                      3,                 3.3392,                 4.8815,                 4.0246,                      0,                      0,                      0,                      0,                 2.9562,                 5.4703,                 4.0887,               0.046725,              0.0057248,              0.0057248
                      4,                 3.2165,                 4.5505,                 3.8053,                      0,                      0,                      0,                      0,                  2.856,                  5.253,                 3.9487,               0.033107,               0.007107,               0.007107
                      5,                 2.9471,                 4.4197,                 3.5399,                 0.2656,                0.36179,                0.17904,                0.06909,                 3.0633,                 4.4739,                   3.85,               0.019459,              0.0084594,              0.0084594
                      6,                  3.076,                 4.2934,                 3.4594,                0.10002,                0.63636,                0.11818,                0.03803,                 3.2121,                 48.611,                 7.9197,               0.009406,               0.009406,               0.009406
                      7,                 2.9742,                 6.2616,                 3.3683,                0.00238,                0.27273,                0.00159,                 0.0006,                 2.9939,                 31.548,                 4.1222,               0.009406,               0.009406,               0.009406
                      8,                 2.8935,                  3.957,                 3.3478,                0.00191,                0.45455,                0.00129,                0.00053,                 4.0408,                    inf,                 19.027,               0.009307,               0.009307,               0.009307
                      9,                 2.9986,                 3.8677,                 3.3855,                0.00011,                0.09091,                  2e-05,                  1e-05,                  3.818,                    inf,                 27.795,               0.009208,               0.009208,               0.009208
                     10,                 3.0198,                 3.3802,                 3.2936,                0.00011,                0.09091,                  2e-05,                  1e-05,                 3.7324,                 11.056,                 5.3085,               0.009109,               0.009109,               0.009109
                     11,                  2.964,                 3.3091,                 3.2069,                0.06667,                0.45455,                0.09461,                0.02766,                 2.7399,                  48.77,                 4.7801,                0.00901,                0.00901,                0.00901
                     12,                 2.7379,                 3.3526,                 3.1498,                 0.1875,                0.54545,                 0.1778,                0.11509,                 2.6633,                 37.076,                 3.9699,               0.008911,               0.008911,               0.008911
                     13,                 2.7577,                 2.9494,                 3.0275,                0.06838,                0.72727,                0.06556,                0.04585,                   2.64,                 96.446,                 4.0462,               0.008812,               0.008812,               0.008812
                     14,                 2.7382,                 3.4363,                 3.1546,                0.22222,                0.54545,                0.20408,                0.06296,                 2.7138,                 105.87,                 3.9229,               0.008713,               0.008713,               0.008713
                     15,                 2.8107,                 3.2727,                 3.2279,                    0.4,                0.18182,                0.22947,                0.11807,                 2.9793,                 25.083,                 3.7799,               0.008614,               0.008614,               0.008614
                     16,                 2.6031,                  3.058,                 3.0256,                0.85731,                0.09091,                 0.1042,                0.01561,                 2.8619,                 5.2928,                 3.5211,               0.008515,               0.008515,               0.008515
                     17,                 2.6711,                 2.9192,                 2.9982,                0.17252,                0.36364,                0.23592,                0.08707,                 2.7725,                 4.0823,                 3.3782,               0.008416,               0.008416,               0.008416
                     18,                 2.7752,                 3.0169,                 3.1273,                0.34519,                0.54545,                 0.3277,                0.12976,                 2.8209,                 4.1496,                 3.3751,               0.008317,               0.008317,               0.008317
                     19,                 2.6083,                 2.9278,                 3.0457,                0.21549,                0.27273,                0.21244,                0.09405,                 3.1248,                 4.3015,                 3.8356,               0.008218,               0.008218,               0.008218
                     20,                 2.7329,                 2.9661,                 3.0502,                0.47205,                0.27273,                0.32704,                 0.1262,                 3.0911,                 4.5559,                 3.8142,               0.008119,               0.008119,               0.008119
                     21,                 2.6503,                  2.838,                 2.9726,                0.41339,                0.09091,                0.12709,                0.04832,                 3.1425,                 5.1051,                 3.6471,                0.00802,                0.00802,                0.00802
                     22,                 2.6793,                 2.6824,                 3.0085,                0.39024,                0.63636,                0.49575,                0.19195,                 2.8744,                 6.3953,                 3.6049,               0.007921,               0.007921,               0.007921
                     23,                 2.7847,                  2.709,                 3.0472,                0.24879,                0.36364,                0.30772,                0.15732,                 2.9945,                 5.4745,                 3.3761,               0.007822,               0.007822,               0.007822
                     24,                 2.5918,                 2.5679,                 2.8603,                0.20742,                0.47645,                0.29027,                0.12708,                 2.7275,                 4.3591,                 3.3875,               0.007723,               0.007723,               0.007723
                     25,                 2.5641,                 2.6712,                 2.8716,                0.71135,                0.44895,                0.38406,                0.14377,                 3.0015,                 2.6028,                 3.5406,               0.007624,               0.007624,               0.007624
                     26,                 2.6176,                 2.5941,                 2.9206,                0.44983,                0.36364,                0.33423,                0.16272,                 2.9238,                  2.714,                   3.71,               0.007525,               0.007525,               0.007525
                     27,                 2.4556,                 2.4997,                 2.8559,                0.34925,                0.63636,                 0.4418,                0.17759,                 3.1119,                 6.9145,                  3.979,               0.007426,               0.007426,               0.007426
                     28,                 2.4541,                 3.0065,                  2.849,                0.56063,                0.72727,                0.53441,                0.18518,                 2.9874,                 6.0688,                 3.5745,               0.007327,               0.007327,               0.007327
                     29,                 2.5556,                 2.5294,                 2.8771,                0.17143,                0.54545,                0.33478,                 0.1313,                 2.5746,                 4.4717,                 3.2139,               0.007228,               0.007228,               0.007228
                     30,                 2.3837,                 2.5141,                 2.7148,                0.49529,                0.63636,                0.48492,                0.20885,                 2.7151,                 3.3634,                 3.2484,               0.007129,               0.007129,               0.007129
                     31,                 2.4146,                 2.5104,                 2.7724,                0.40738,                0.54545,                0.46038,                 0.1933,                 2.7046,                 2.0538,                 3.0665,                0.00703,                0.00703,                0.00703
                     32,                 2.5705,                 2.5731,                 2.8318,                0.67476,                0.63636,                0.58384,                0.22705,                 3.0035,                 2.5343,                 3.3674,               0.006931,               0.006931,               0.006931
                     33,                  2.551,                 2.4545,                 2.9282,                0.52833,                0.54545,                0.33554,                0.11612,                 3.1865,                 2.6153,                  3.541,               0.006832,               0.006832,               0.006832
                     34,                 2.5144,                 2.2758,                 2.7727,                0.07229,                0.54545,                  0.328,                0.16558,                 2.8326,                  3.866,                 3.3412,               0.006733,               0.006733,               0.006733
                     35,                  2.449,                 2.3988,                 2.7645,                0.38545,                0.45455,                0.37604,                0.19347,                 2.6449,                 2.2097,                 3.2457,               0.006634,               0.006634,               0.006634
                     36,                 2.3794,                  2.281,                  2.766,                0.55692,                0.23356,                0.37071,                0.19026,                 2.7925,                 2.9674,                 3.3555,               0.006535,               0.006535,               0.006535
                     37,                 2.3649,                 2.3436,                 2.7036,                0.09278,                0.81818,                0.34529,                 0.1196,                 2.9573,                 3.7447,                 3.3164,               0.006436,               0.006436,               0.006436
                     38,                 2.3553,                 2.3841,                 2.7146,                0.67084,                0.45455,                0.46467,                0.26463,                 2.6276,                 2.6501,                 3.2034,               0.006337,               0.006337,               0.006337
                     39,                 2.2753,                 2.2725,                 2.6776,                0.47641,                0.72727,                0.55527,                0.26085,                 2.5886,                 3.3581,                 3.2151,               0.006238,               0.006238,               0.006238
                     40,                 2.4104,                 2.2877,                 2.8639,                 0.5772,                0.54545,                0.43416,                0.13202,                 3.1822,                  2.601,                 3.7078,               0.006139,               0.006139,               0.006139
                     41,                 2.3249,                  2.325,                 2.6818,                0.50734,                0.27273,                0.44319,                0.18322,                  2.808,                 2.7138,                 3.2037,                0.00604,                0.00604,                0.00604
                     42,                 2.2987,                 2.1667,                   2.65,                0.43508,                0.63636,                0.51207,                0.28604,                 2.7048,                 1.9375,                 3.3096,               0.005941,               0.005941,               0.005941
                     43,                 2.4569,                 2.5336,                 2.7076,                      1,                0.42781,                0.57441,                0.23679,                  2.705,                 2.0659,                 3.3041,               0.005842,               0.005842,               0.005842
                     44,                  2.272,                 2.2687,                 2.5746,                 0.6951,                0.62301,                0.58199,                0.25961,                 2.6175,                 2.1679,                 3.1955,               0.005743,               0.005743,               0.005743
                     45,                 2.2837,                 2.1875,                 2.7502,                 0.5529,                0.72727,                 0.5828,                0.24376,                 2.6032,                 2.1153,                 3.2128,               0.005644,               0.005644,               0.005644
                     46,                 2.3346,                 2.2017,                 2.7038,                      1,                0.24791,                 0.6257,                0.30946,                 2.6829,                 2.6032,                 3.1965,               0.005545,               0.005545,               0.005545
                     47,                 2.2717,                 2.1549,                 2.6631,                0.74144,                0.54545,                0.53755,                0.25176,                 2.5741,                 2.1704,                 3.2741,               0.005446,               0.005446,               0.005446
                     48,                 2.2094,                 2.2899,                 2.5935,                0.52408,                0.63636,                0.53789,                0.25444,                 2.5361,                 1.9386,                 3.2815,               0.005347,               0.005347,               0.005347
                     49,                 2.1543,                 2.0602,                 2.4391,                 0.3125,                0.45455,                0.49099,                0.23798,                 2.9025,                 4.2276,                 3.3081,               0.005248,               0.005248,               0.005248
                     50,                 2.2777,                 2.3905,                 2.6894,                0.49155,                0.63636,                0.53649,                0.26888,                 2.6496,                 2.4925,                 3.2978,               0.005149,               0.005149,               0.005149
                     51,                 2.1326,                 2.1056,                 2.4549,                 0.8347,                0.54545,                0.56211,                0.28648,                 2.4802,                 2.0318,                 3.1198,                0.00505,                0.00505,                0.00505
                     52,                 2.1522,                 2.0689,                 2.4521,                0.46337,                0.63636,                0.47914,                0.20201,                 2.7471,                 2.1112,                   3.24,               0.004951,               0.004951,               0.004951
                     53,                 2.1607,                 2.0492,                 2.5415,                0.62576,                0.54545,                0.58116,                0.28058,                 2.3685,                  4.309,                 3.0442,               0.004852,               0.004852,               0.004852
