                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6424,                 8.3963,                 4.2742,                      0,                      0,                      0,                      0,                 5.2221,                 6.6434,                 4.1609,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.1501,                 5.1368,                 3.1279,                      0,                      0,                      0,                      0,                   5.29,                  6.483,                 4.2261,             0.00081188,             0.00081188,             0.00081188
                      3,                 2.5444,                 3.3144,                 2.3764,                      0,                      0,                      0,                      0,                   5.44,                 6.5797,                 4.3458,              0.0012154,              0.0012154,              0.0012154
                      4,                 2.3571,                 2.6794,                 2.1371,                      0,                      0,                      0,                      0,                  5.196,                 5.7288,                 4.2339,              0.0016107,              0.0016107,              0.0016107
                      5,                 2.2808,                 2.3856,                 2.0163,                      0,                      0,                      0,                      0,                 3.1912,                 5.3492,                 3.5532,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2265,                 2.1409,                 1.9476,                0.42359,                0.03962,                0.08722,                0.02539,                 2.5069,                 3.9374,                 2.5121,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.1663,                 2.0069,                 1.8861,                0.47201,                0.41195,                0.36899,                0.12676,                 2.2663,                  2.302,                 2.0852,               0.001901,               0.001901,               0.001901
                      8,                  2.164,                 1.8599,                 1.8664,                0.57761,                0.49587,                0.48619,                0.19007,                 2.1631,                 1.9459,                 1.9767,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1307,                 1.7669,                 1.8349,                0.60457,                0.57967,                0.53899,                0.24045,                 1.9745,                  1.708,                 1.8909,              0.0018614,              0.0018614,              0.0018614
                     10,                   2.12,                 1.7087,                 1.8159,                0.60015,                0.63566,                0.59358,                0.26713,                  1.954,                 1.4991,                 1.8406,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0664,                 1.6219,                 1.7955,                 0.6552,                0.63738,                0.62613,                0.28933,                 1.9614,                 1.5117,                 1.8551,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0732,                 1.6062,                 1.7865,                 0.6203,                0.66064,                0.61977,                 0.2849,                 1.9023,                 1.4555,                 1.8071,               0.001802,               0.001802,               0.001802
                     13,                 2.0612,                 1.5374,                 1.7664,                0.65397,                0.65805,                0.65984,                0.30876,                 1.9079,                 1.3619,                 1.7991,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0635,                 1.5034,                 1.7649,                 0.6742,                0.66925,                0.64946,                0.30319,                 1.9435,                  1.444,                 1.8221,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.036,                 1.4848,                 1.7554,                0.63001,                0.63566,                 0.6189,                0.27833,                 1.9694,                 1.4095,                 1.8455,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0299,                 1.5142,                 1.7541,                0.64595,                 0.6503,                0.60411,                0.27034,                 1.9815,                 1.4313,                 1.8439,              0.0017228,              0.0017228,              0.0017228
                     17,                  2.019,                 1.4542,                 1.7423,                0.67859,                0.66581,                0.67291,                 0.3217,                 1.8872,                 1.3263,                 1.7868,               0.001703,               0.001703,               0.001703
                     18,                 2.0139,                 1.4445,                  1.734,                0.63451,                0.66667,                0.63373,                0.29706,                 1.9139,                 1.3261,                 1.7972,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9957,                 1.4106,                 1.7226,                0.64363,                0.65801,                0.62526,                0.26829,                 2.0025,                 1.4028,                 1.8416,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0205,                 1.4088,                 1.7303,                0.67885,                0.62274,                0.62272,                0.29563,                 1.9102,                 1.4348,                 1.7915,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0002,                 1.4086,                 1.7051,                0.66692,                0.67528,                0.66633,                0.30781,                 1.9558,                 1.3018,                 1.8125,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0127,                 1.4235,                 1.7292,                0.63638,                0.65978,                0.65666,                0.31217,                  1.868,                 1.3145,                 1.7601,               0.001604,               0.001604,               0.001604
