                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4207,                 36.936,                 4.6859,                      0,                      0,                      0,                      0,                 2.9878,                 28.917,                 4.1592,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.7614,                 45.718,                    4.8,                      0,                      0,                      0,                      0,                 2.9885,                 24.137,                 4.1579,               0.086485,              0.0014851,              0.0014851
                      2,                 3.6985,                 14.113,                 4.3551,                      0,                      0,                      0,                      0,                 2.9746,                 5.2888,                 4.1396,               0.079254,              0.0022545,              0.0022545
                      3,                 3.5042,                 6.3733,                 4.2785,                      0,                      0,                      0,                      0,                 2.9651,                 5.1361,                 4.1104,               0.072008,              0.0030079,              0.0030079
                      4,                 3.4763,                  5.329,                 4.3792,                      0,                      0,                      0,                      0,                 2.9631,                 5.2745,                 4.0956,               0.064746,              0.0037456,              0.0037456
                      5,                 3.3307,                  4.458,                 4.1286,                      0,                      0,                      0,                      0,                 2.9562,                 5.3582,                  4.086,               0.057467,              0.0044673,              0.0044673
                      6,                 3.3295,                 5.2655,                 4.0541,                      0,                      0,                      0,                      0,                 2.9554,                 5.4305,                 4.0779,               0.050173,              0.0051733,              0.0051733
                      7,                 3.4594,                  4.303,                 3.9815,                      0,                      0,                      0,                      0,                 2.9455,                 5.4863,                 4.0658,               0.042863,              0.0058634,              0.0058634
                      8,                 2.9727,                  3.861,                  3.787,                      0,                      0,                      0,                      0,                 2.9346,                 5.5342,                 4.0553,               0.035538,              0.0065377,              0.0065377
                      9,                 3.1246,                 6.6688,                 3.7729,                      0,                      0,                      0,                      0,                 2.9293,                 5.5639,                 4.0535,               0.028196,              0.0071961,              0.0071961
                     10,                  3.154,                 5.1417,                 3.7898,                0.00203,                0.63636,                0.36042,                0.12617,                 2.9239,                 3.9567,                  3.762,               0.020839,              0.0078387,              0.0078387
